광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,AISAC_URL,실제재생초수
캐롯손해보험 캐롯 : 할인의 신세계,2024-07-31,15.0,"금융,보험및증권",금융및보험,손해보험,캐롯손해보험주식회사,(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861181H01_1_24-TJ-07-046,15.02
한국인삼공사 정관장 : 종합편,2024-07-31,15.0,식품,건강식품,건강식품제품종합,한국인삼공사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/862001H01_1_24-TH-08-536,15.02
삼성전자 : Galaxy Brand 15초,2024-07-31,15.0,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861174H01_1_24-TJ-07-042,15.02
경기도교육청 : 지역교육협력 플랫폼 경기공유학교 홍보,2024-07-31,15.0,관공서및단체,중앙및지방관공서,지방자치단체,경기도교육청,한국언론진흥재단,주식회사 메이크어스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861180H01_1_24-TJ-07-043,15.02
엘지전자 : LG 퓨리케어 얼음정수기,2024-07-31,30.0,가정용전기전자,주방용전기전자,주방용전기전자기타,엘지전자(주),주식회사 에이치에스애드,디렉터스컴퍼니,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861194H01_1_24-TJ-07-059,30.03
장스푸드 : 60계 크크크치킨 이벤트,2024-07-31,15.0,식품,축산품,치킨가공품,주식회사장스푸드,직거래,(주)장스푸드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/868510H01_1_25-TH-01-709,30.03
이베스트투자증권 : LS증권 CI편,2024-07-31,30.0,"금융,보험및증권",주식및유가증권,주식증권,이베스트투자증권(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861524H01_1_24-TH-08-210,15.02
이베스트투자증권  LS증권 : 투혼편,2024-07-30,15.0,"금융,보험및증권",주식및유가증권,주식증권,이베스트투자증권(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861521H01_1_24-TH-08-208,15.02
링티 : 직장인편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861678H01_1_24-TH-08-336,15.02
한국타이어앤테크놀로지 티스테이션 : 휴일지킴 서비스편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,크리에이티브멋,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861140H01_1_24-TJ-07-014,15.02
한국존슨앤드존슨 아규브 오아시스 맥스 원데이 멀티포컬 :  박세리편,2024-07-30,30.0,제약및의료,"이비인후,치과및안과용제","이비인후,치과및안과용제제품종합",한국존슨앤드존슨,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861146H01_1_24-HC-07-111,15.02
한국존슨앤드존슨 아규브 오아시스 맥스 원데이 멀티포컬 :  박세리편,2024-07-30,15.0,제약및의료,"이비인후,치과및안과용제","이비인후,치과및안과용제제품종합",한국존슨앤드존슨,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861146H01_1_24-HC-07-111,15.02
오비맥주 카스 : 올림픽편,2024-07-30,15.0,음료및기호식품,알콜음료,맥주,오비맥주주식회사,레오버넷(주),로켓샐러드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861295H01_1_24-TX-08-004,30.03
건강보험심사평가원 기관PR : 진료의 심사평가편,2024-07-30,30.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,건강보험심사평가원,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861128H01_1_24-HC-07-108,30.03
한국에너지공단 에너지절약캠페인 : 에너지센스 함께해요편,2024-07-30,40.0,관공서및단체,단체,공공단체,한국에너지공단,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861160H01_1_24-HC-07-112,40.04
경북도립대학교 국립경국대학교 : 도약편,2024-07-30,15.0,교육및복지후생,교육기관,대학대학원,경북도립대학교,한국언론진흥재단,주식회사 디베이스미디어,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861165H01_1_24-TJ-07-032,15.02
건강보험심사평가원 : 합니다편,2024-07-30,15.0,관공서및단체,단체,공공단체,건강보험심사평가원,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861129H01_1_24-HC-07-107,15.02
에쓰-오일 S-OIL : 구도일캔두잇 문답편,2024-07-30,15.0,수송기기,수송기기부품및용품,수송기기용품,에쓰-오일(S-OIL)(주),주식회사 에이치에스애드,apc,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861096H01_1_24-TH-07-995,15.02
