광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류
한국존슨앤드존슨 아규브 오아시스 맥스 원데이 멀티포컬 :  박세리편,2024-07-30,30.0,제약및의료,"이비인후,치과및안과용제","이비인후,치과및안과용제제품종합"
한국존슨앤드존슨 아규브 오아시스 맥스 원데이 멀티포컬 :  박세리편,2024-07-30,15.0,제약및의료,"이비인후,치과및안과용제","이비인후,치과및안과용제제품종합"
오비맥주 카스 : 올림픽편,2024-07-30,15.0,음료및기호식품,알콜음료,맥주
건강보험심사평가원 기관PR : 진료의 심사평가편,2024-07-30,30.0,관공서및단체,관공서및단체기타,관공서및단체기업PR
한국에너지공단 에너지절약캠페인 : 에너지센스 함께해요편,2024-07-30,40.0,관공서및단체,단체,공공단체
경북도립대학교 국립경국대학교 : 도약편,2024-07-30,15.0,교육및복지후생,교육기관,대학대학원
건강보험심사평가원 : 합니다편,2024-07-30,15.0,관공서및단체,단체,공공단체
에쓰-오일 S-OIL : 구도일캔두잇 문답편,2024-07-30,15.0,수송기기,수송기기부품및용품,수송기기용품
에쓰-오일 S-OIL : 구도일캔두잇 문답편,2024-07-30,30.0,수송기기,수송기기부품및용품,수송기기용품
서울시의사회 서울특별시의사회 : 지켜주십시오 A편,2024-07-30,15.0,관공서및단체,단체,민간단체
넷플릭스서비시스코리아 오징어게임2 : 레이스편,2024-07-30,30.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타
미래효자장례타운 아리움 : 지켜드리겠습니다 등록증편,2024-07-30,20.0,서비스,개인서비스,경조서비스
산업단지닷컴 평택브레인시티 : 분양 문의편,2024-07-30,15.0,"건설,건재및부동산",부동산임대및매매,건물임대및매매
인터브랜드 라이나 : 집중편,2024-07-30,15.0,"금융,보험및증권",금융및보험,금융및보험제품종합
아모레퍼시픽 설화수 자음생크림 : 완성하다편,2024-07-30,15.0,화장품및보건용품,여성기초화장품,여성일반기초화장품
AIA생명보험 AIA건강암보험 : 다이얼서큘레이터편,2024-07-30,60.0,"금융,보험및증권",금융및보험,생명보험
아카데미과학 포켓몬 LCD게임 몬스터볼 : 잡자편,2024-07-30,15.0,가정용품,완구류,일반완구
이베스트투자증권 LS증권 : 잘 가시게편,2024-07-30,15.0,"금융,보험및증권",주식및유가증권,주식증권
넷플릭스  오징어게임2 : 레이스편,2024-07-30,15.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타
한국타이어앤테크놀로지 티스테이션 : 스마트페이편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어
메이푸드 : 특허기술편,2024-07-30,20.0,음료및기호식품,비알콜음료,기능성건강음료
한국타이어앤테크놀로지 티스테이션 : 픽업 앤 딜리버리편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어
사회복지공동모금회 사랑의열매 : 폼 나는 나눔플랫폼편,2024-07-30,15.0,교육및복지후생,복지후생기관,복지후생기관제품종합
링티 : 어린이집편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타
케이티 KT 로밍  : 함께 쓰는 로밍편,2024-07-30,30.0,컴퓨터및정보통신,통신망,이동통신
오비맥즈 카스 : 올림픽편,2024-07-30,30.0,음료및기호식품,알콜음료,맥주
한국타이어앤테크놀로지 티스테이션 : 오늘 서비스편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어
엘지전자 PR :  공간 미래 연결하다편,2024-07-30,30.0,그룹및기업광고,그룹광고,그룹PR
사회복지공동모금회 사랑의열매 : 폼나는 나눔 플랫폼편,2024-07-30,30.0,교육및복지후생,복지후생기관,복지후생기관제품종합
사회복지공동모금회 사랑의열매 : 폼나는 나눔 플랫폼편,2024-07-30,30.0,교육및복지후생,복지후생기관,복지후생기관제품종합
사회복지공동모금회 사랑의열매 : 폼나는 나눔 플랫폼편,2024-07-30,15.0,교육및복지후생,복지후생기관,복지후생기관제품종합
링티 링티 : 택배편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타
링티 링티 : 풋살편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타
경기도교육청 공유학교 : 우리의 길편,2024-07-30,40.0,관공서및단체,중앙및지방관공서,중앙및지방관공서기타
한국전력 에너지 절약 캠페인 : 지구를 살리는 에센스편,2024-07-30,40.0,관공서및단체,단체,공공단체
한국타이어앤테크놀로지 티스테이션 : 무상점검 서비스편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어
케이티 KT 로밍 : 떠나자 3GB편,2024-07-30,15.0,컴퓨터및정보통신,통신망,이동통신
링티 : 고깃집편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타
링티 : 수험생편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타
인터브랜드 라이나 : 스쳐가는 일상편,2024-07-30,15.0,"금융,보험및증권",금융및보험,금융및보험제품종합
한국타이어 iON : 글로리어스모멘트편,2024-07-29,15.0,화학공업,고무및플라스틱,타이어
월트디즈니컴퍼니코리아 개봉안내 : 에이리언 HeartAlpha편,2024-07-29,30.0,서비스,문화및공연,영화
넷플릭스서비시스코리아 넷플릭스 : 8월 넷플 뭐 봄편,2024-07-29,15.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타
장스푸드 크랑이치킨 : 노부부편,2024-07-29,30.0,식품,식품기타,식품기타
월드비전 G6K : 달려보면 알거야편,2024-07-29,15.0,관공서및단체,관공서및단체기타,관공서및단체기타
제주항공 PR : 가자 우리에겐 J가 있다 일본편,2024-07-29,15.0,수송기기,항공수송기기,항공기
하이모 PR : 당당하게 앞을 향해편,2024-07-29,30.0,화장품및보건용품,화장도구,가발류
월드비전 G6K : 달려보면 알거야편,2024-07-29,30.0,관공서및단체,관공서및단체기타,관공서및단체기타
제주항공 PR : 가자 우리에겐 J가 있다 발리편,2024-07-29,15.0,수송기기,항공수송기기,항공기
장스푸드 크크크치킨 : 바삭함의 끝판왕편,2024-07-29,15.0,식품,식품기타,식품기타
파나소닉코리아 파나소닉 안마의자 MAN1 : 경험하지 못 한 절대 휴식편,2024-07-29,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타
충청남도청 여행안내 : 충남의바다편,2024-07-29,30.0,관공서및단체,중앙및지방관공서,지방자치단체
폴스타오토모티브코리아 Polestar 4 : 별편,2024-07-29,30.0,수송기기,수입자동차,수입승용차
데일리앤코 몽제 : 허리가 편안한 매트리스편,2024-07-29,15.0,가정용품,가구류,침대
제주항공 : 띄웁니다 일본발리편,2024-07-29,30.0,수송기기,항공수송기기,항공기
홈플러스 썸머 홈플런 : 24년 2차편,2024-07-29,15.0,유통,대형유통,대형유통제품종합
굿네이버스인터내셔날 굿네이버스 후원 : 고려인편,2024-07-29,60.0,관공서및단체,단체,민간단체
하이모 : 극복 체험이벤트편,2024-07-29,15.0,화장품및보건용품,화장도구,가발류
명륜당 명륜진사갈비 : 마법편,2024-07-29,15.0,서비스,음식및숙박,대중음식점
비케이알 버거킹 콰트로치즈 비프라구와퍼 : 더 맛있더라구편,2024-07-29,15.0,식품,제빵,"햄버거,피자및샌드위치"
월트디즈니컴퍼니코리아 에이리언 로물루스 : 대개봉 HeartAlpha편,2024-07-29,15.0,서비스,문화및공연,영화
폴스타오토모티브코리아 Polestar 4 : 아이돈노우편,2024-07-29,15.0,수송기기,수입자동차,수입승용차
장스푸드 크랑이치킨 : 잔다편,2024-07-29,30.0,식품,식품기타,식품기타
미미월드 스마트 타요 빅매트 : 성공편,2024-07-29,15.0,유통,"소형,소매유통","소형,소매유통제품종합"
아카데미과학 비기즈 : 왔어요편,2024-07-29,15.0,가정용품,완구류,일반완구
홈플러스 썸머 홈플런 : 24년편,2024-07-29,15.0,유통,대형유통,대형유통제품종합
제주항공 : 띄웁니다 일본발리편,2024-07-29,30.0,수송기기,항공수송기기,항공기
한서대학교 : 아닙니다편,2024-07-29,15.0,교육및복지후생,교육기관,대학대학원
당코리테일러 당코리 테일러 : 100년 기업편,2024-07-29,20.0,패션,정장의류,신사정장
월드비전 G6K : 글로벌 6K와 함께 달려주세요편,2024-07-29,30.0,관공서및단체,관공서및단체기타,관공서및단체기타
월드비전 G6K : 글로벌 6K와 함께 달려주세요편,2024-07-29,15.0,관공서및단체,관공서및단체기타,관공서및단체기타
월드비전 G6K : 글로벌 6K와 함께 달려주세요편,2024-07-29,15.0,관공서및단체,관공서및단체기타,관공서및단체기타
넷플릭스 : 8월 넷플뭐봄편,2024-07-29,30.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타
라이온코리아 비트캡슐 울트라콤팩트 : 종합편,2024-07-29,15.0,화장품및보건용품,세제류,세탁세제
올랜드울산점 : 썸머위크 여름정기세일편,2024-07-29,20.0,유통,유통기타,유통기타
에스앤씨세인 더벤티 : 저당편,2024-07-29,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타
비알코리아 배스킨라빈스 : 8월 이달의 맛편,2024-07-29,15.0,식품,아이스크림,아이스크림제품종합
충청북도청 영동국악엑스포 : 행사안내편,2024-07-29,30.0,관공서및단체,관공서및단체기타,관공서및단체기업PR
올랜드창원경남점 : 썸머위크 여름정기세일편,2024-07-29,20.0,유통,유통기타,유통기타
보람상조 보람상조피플  스마트 299 : 환급편,2024-07-29,60.0,서비스,개인서비스,개인서비스기타
장스푸드 60계 치킨 : 크랑이치킨편,2024-07-29,30.0,식품,식품기타,식품기타
월드비전 G6K : 글로벌 6K와 함께 달려주세요편,2024-07-29,30.0,관공서및단체,관공서및단체기타,관공서및단체기타
경남대학교 수시 모집 : 강력한 힘편,2024-07-29,20.0,교육및복지후생,교육기관,교육기관기타
경상북도청 경북 관광 : 지금!여기! 경상북도편,2024-07-29,30.0,관공서및단체,관공서및단체기타,관공서및단체기업PR
닥터블릿헬스케어 푸응 나이트버닝 프로 : 푸응 페스타편,2024-07-26,15.0,식품,건강식품,다이어트식품
엘지전자 PR : 공간 미래 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR
롯데컬처웍스 상영 안내 : 파일럿편,2024-07-26,15.0,서비스,문화및공연,영화
코웨이 : 얼음정수기 고객만족도 수상 자막,2024-07-26,15.0,가정용전기전자,주방용전기전자,주방용전기전자기타
헨켈홈케어코리아 브레프 디럭스 퍼퓸클리닝 : 향수보다 나은 솔루션편,2024-07-26,15.0,화장품및보건용품,세제류,세척제
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-26,30.0,컴퓨터및정보통신,통신망,이동통신
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,15.0,음료및기호식품,비알콜음료,"커피,코코아음료"
소상공인방송정보원 카드형 온누리상품권 : 대한민국행복충전편,2024-07-26,15.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기타"
유니세프 출발점 : 이상우편,2024-07-26,60.0,관공서및단체,단체,민간단체
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,15.0,음료및기호식품,비알콜음료,"커피,코코아음료"
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-26,60.0,컴퓨터및정보통신,통신망,이동통신
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR
코웨이 icon 얼음 정수기 : 종합편,2024-07-26,15.0,가정용전기전자,주방용전기전자,주방용전기전자기타
아쿠아플라넷 키즈존 일산 : SUN넘는 즐거움편,2024-07-26,30.0,서비스,스포츠및오락시설,공원및테마파크
"월트디즈니컴퍼니코리아 스트리밍 : 폭군, 노웨이편",2024-07-26,15.0,서비스,서비스기타,서비스기타
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR
고리나코리아 PR : 챔피언들의 선택편,2024-07-26,15.0,서비스,스포츠및오락시설,스포츠및오락시설제품종합
웰빙플러스 노도하이라이트 : 가장 새로운편,2024-07-26,15.0,가정용품,주방용품,가스렌지 및 전기렌지
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,30.0,음료및기호식품,비알콜음료,"커피,코코아음료"
하늘별바다 하늘별바다펜션 : 당신의 인생 휴양지는편,2024-07-26,20.0,서비스,음식및숙박,음식및숙박기타
코웨이 코웨이icon정수기2 : 더 좋아졌네편,2024-07-26,15.0,가정용품,주방용품,정수기
LG전자 기업PR : 공간과 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-25,60.0,컴퓨터및정보통신,통신망,이동통신
제주항공 발리 : 진짜 우리가 원하던 곳으로편,2024-07-25,15.0,수송기기,항공수송기기,항공기
FIRSTFUNHONGKONG 라스트워 : 우린 항상 1위로 달려편,2024-07-25,15.0,컴퓨터및정보통신,컴퓨터게임,모바일게임
전남대학교산학협력단 조기취업형계약학과 : 수시 원서접수편,2024-07-25,20.0,교육및복지후생,교육기관,대학대학원
로라엔터테인먼트 뱅뱅 : PRIVATE WINE PLACE편,2024-07-25,15.0,서비스,스포츠및오락시설,스포츠및오락시설기타
에스케이텔레콤 SKT : GTAA 환영합니다편,2024-07-25,60.0,컴퓨터및정보통신,통신망,이동통신
제주항공 : 띄웁니다 일본발리 2차편,2024-07-25,30.0,수송기기,항공수송기기,항공기
한국가스안전공사 가스안전캠페인 : 행복합니다편,2024-07-25,40.0,관공서및단체,관공서및단체기타,관공서및단체기업PR
케이티 KT 로밍 : 떠나자편,2024-07-25,15.0,컴퓨터및정보통신,통신망,이동통신
삼성전자 SKT 갤럭시 폴더블6 : 보여드릴까요편,2024-07-25,60.0,컴퓨터및정보통신,통신기기,휴대폰
삼성전자 SKT 갤럭시 Z Flip6 : 보여드릴까요편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰
에스케이텔레콤 T우주패스 : 넷플릭스편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신
제주항공 : 띄웁니다 발리일본 2차편,2024-07-25,30.0,수송기기,항공수송기기,항공기
케이비자산운용 KB자산운용 RISE ETF : 할까요편,2024-07-25,15.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR"
경남대학교 : 경남의 힘 25년 수시모집편,2024-07-25,20.0,교육및복지후생,교육기관,대학대학원
웰빙플러스 노도하이라이트 : 만나보세요편,2024-07-25,20.0,가정용품,주방용품,가스렌지 및 전기렌지
에스케이텔레콤 SKT : GTAA 환영합니다편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신
스마트인 파주운정가구단지 : 여름특가전편,2024-07-25,15.0,가정용품,가구류,가구류제품종합
에스케이텔레콤 SKT : GTAA 환영합니다 F편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신
에스케이텔레콤 SKT 갤럭시 폴더블6 : 보여드릴까요편,2024-07-25,60.0,컴퓨터및정보통신,통신기기,휴대폰
에스케이텔레콤 SKT 갤럭시 Z Flip6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰
비케이알 버거킹 : 콰트로치즈 비프라구 와퍼편,2024-07-25,15.0,식품,제빵,"햄버거,피자및샌드위치"
월트디즈니 데드풀과 울버린 : 절찬 상영중편,2024-07-25,15.0,서비스,서비스기타,서비스기타
에스케이텔레콤 T우주패스: 넷플릭스편,2024-07-25,60.0,컴퓨터및정보통신,통신망,이동통신
홈플러스 썸머 슈퍼세일 : 홈플런편,2024-07-25,15.0,유통,대형유통,대형유통제품종합
에스케이텔레콤 SKT T 로밍 바로요금제 : 가족 모두 로밍 해결편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신
캐롯손해보험 캐롯 : 재가입률편,2024-07-25,15.0,"금융,보험및증권",금융및보험,손해보험
퍼스트펀 라스트워 서바이벌 : 우린 항상 1위로 달려편,2024-07-25,15.0,컴퓨터및정보통신,컴퓨터게임,모바일게임
케이티 KT 갤럭시 Z 플립6 : KT니까 괜찮아편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신
제주항공 : 일본편,2024-07-25,15.0,수송기기,항공수송기기,항공기
케이티 KT 로밍 : 함께 쓰는 로밍편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신
에스케이텔레콤 SKT 갤럭시 Z Fold6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰
정관장 알엑스진 피크업 : 남자의 성공테크닉편,2024-07-25,15.0,식품,건강식품,건강보조식품
에스케이텔레콤 SKT 갤럭시 Z Fold6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰
케이티  KT 로밍 : 함께 쓰는 로밍편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신
케이씨씨건설 : KCC건설 기업PR 식구편1,2024-07-24,60.0,그룹및기업광고,기타광고,기타기업PR
코웨이 : 상체 리클라이닝 안마베드,2024-07-24,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타
롯데칠성음료 : 레몬진 탄산주 여름편,2024-07-24,15.0,음료및기호식품,알콜음료,알콜음료기타
씨앤조이 : 체프리스 커피 프랜차이즈 문의,2024-07-24,30.0,음료및기호식품,비알콜음료,"커피,코코아음료"
농협은행 : NH올원뱅크 달콤혜택 30초,2024-07-24,30.0,"금융,보험및증권",금융및보험,은행
삼성전자 : Galaxy Z시리즈 15초,2024-07-24,15.0,컴퓨터및정보통신,통신기기,휴대폰
케이티 :  KT 함께쓰는 로밍,2024-07-24,15.0,컴퓨터및정보통신,통신망,이동통신
농협은행 : NH올원뱅크 달콤혜택 15초,2024-07-24,15.0,"금융,보험및증권",금융및보험,은행
제주항공 : 발리편,2024-07-24,15.0,수송기기,항공수송기기,항공기
제주항공 : 일본편,2024-07-24,15.0,수송기기,항공수송기기,항공기
케이씨씨건설 : KCC건설 기업PR 식구편4,2024-07-24,60.0,그룹및기업광고,기타광고,기타기업PR
케이씨씨건설 : KCC건설 기업PR 식구편3,2024-07-24,60.0,그룹및기업광고,기타광고,기타기업PR
월트디즈니컴퍼니코리아 폭군 : 단독 공개편,2024-07-24,15.0,서비스,서비스기타,서비스기타
삼성전자 갤럭시Z폴더블6 : 와우편,2024-07-24,15.0,컴퓨터및정보통신,통신기기,휴대폰
농협은행 NH올원뱅크 : 없나요 수정편,2024-07-24,15.0,"금융,보험및증권",금융및보험,은행
서울시의사회 서울특별시의사회 : 지켜주십시오편,2024-07-24,15.0,관공서및단체,단체,민간단체
삼성전자 갤럭시Z폴더블6 : 도전해볼께요편,2024-07-24,15.0,컴퓨터및정보통신,통신기기,휴대폰
두울황토방청호가구요한이네 황토방 흙돌침대 : 만나보세요편,2024-07-24,20.0,가정용품,가구류,가구류제품종합
월트디즈니컴퍼니코리아 디즈니플러스 : 예능 보고 디플 때편,2024-07-24,15.0,서비스,서비스기타,서비스기타
오비맥주 카스 : 소리 펜싱편,2024-07-24,30.0,음료및기호식품,알콜음료,맥주
오비맥주 카스 : 스토리 펜싱편,2024-07-24,30.0,음료및기호식품,알콜음료,맥주
월트디즈니컴퍼니코리아 에이리언 로물루스 : 대개봉편,2024-07-24,30.0,서비스,문화및공연,영화
제주항공 : 제이가 있다 일본발리편,2024-07-24,30.0,수송기기,항공수송기기,항공기
케이씨씨건설 KCC건설 : 돼지수육 구이편,2024-07-24,60.0,그룹및기업광고,기타광고,기타기업PR
어댑트 콜레올로지 신봉선다이어트성공세트 : 검색하세요 8월편,2024-07-24,15.0,식품,건강식품,다이어트식품
봄소와광주점 봄소와 : 잘 샀다 입주혼수특별전편,2024-07-24,15.0,가정용품,가구류,가구류제품종합
제주항공 : 제이가 있다 발리일본편,2024-07-24,30.0,수송기기,항공수송기기,항공기
아쿠아플라넷 광교 : 키즈존편,2024-07-24,30.0,서비스,스포츠및오락시설,공원및테마파크
악사손해보험 AXA손해보험 : 나를 지켜주는 암보험편,2024-07-24,60.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR"
미래엔 : 클래스가 다르다편,2024-07-24,30.0,출판,초등학생용교재,초등학생용학습지
코웨이 리클라이닝 안마베드 : 시작편,2024-07-24,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타
코웨이 리클라이닝 안마베드 : 안마의 마무리편,2024-07-24,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타
삼성전자 갤럭시 Z 폴드6 : 노트 어시스트편,2024-07-24,15.0,컴퓨터및정보통신,통신기기,휴대폰
오비맥주 카스 : 올림픽 승리의 소리편,2024-07-24,15.0,음료및기호식품,알콜음료,맥주
어댑트 오브제 덱 커버로션 : 최고 버전편,2024-07-24,15.0,식품,건강식품,다이어트식품
미래엔 : 클래스가 다르다편,2024-07-24,15.0,출판,초등학생용교재,초등학생용학습지
케이비자산운용  KB자산운용 RISE ETF : 떠오르는 투자편,2024-07-24,15.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR"
오비맥주 카스 : 올림픽편,2024-07-24,15.0,음료및기호식품,알콜음료,맥주
농협은행 NH올원뱅크 : 개인맞춤편,2024-07-24,30.0,"금융,보험및증권",금융및보험,은행
하겐다즈 : 편의점 혜택편,2024-07-24,15.0,식품,아이스크림,아이스크림제품종합
서울특별시의사회  : 돌아가고 싶습니다편,2024-07-24,15.0,관공서및단체,단체,민간단체
한국토요타자동차 렉서스 LM : 런칭편,2024-07-24,30.0,수송기기,수입자동차,수입자동차기타
삼성전자 노트 어시스트 : 바꿔보상편,2024-07-24,30.0,컴퓨터및정보통신,통신기기,휴대폰
오비맥주 카스 : 올림픽 시즌 메달존편,2024-07-24,30.0,음료및기호식품,알콜음료,맥주
유엔난민기구 정기후원 : 우크라이나 난민구호편,2024-07-24,60.0,관공서및단체,단체,민간단체
농협은행 NH올원뱅크 : 금융상품몰편,2024-07-24,30.0,"금융,보험및증권",금융및보험,은행
농협은행 NH올원뱅크 : 개인맞춤편,2024-07-24,15.0,"금융,보험및증권",금융및보험,은행
케이티 KT 로밍 : 함께 쓰는 로밍편,2024-07-24,30.0,컴퓨터및정보통신,통신망,이동통신
롯데칠성음료 레몬진 : 여름편,2024-07-24,15.0,음료및기호식품,알콜음료,알콜음료기타
서울특별시의사회 PR : 무릎편,2024-07-24,15.0,관공서및단체,단체,민간단체
케이씨씨건설 SWItZEN : 한 끼 정도는 함께 하는 사이가 식구입니다편,2024-07-24,60.0,그룹및기업광고,기타광고,기타기업PR
코웨이 리클라이닝 안마베드 : 국내 최초편,2024-07-24,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타
에스케이텔레콤 : SKT 갤럭시 폴더블6 60초,2024-07-23,60.0,컴퓨터및정보통신,통신기기,휴대폰
에스케이텔레콤 SKT 갤럭시 폴더블6 : 육대급혜택편,2024-07-23,60.0,컴퓨터및정보통신,통신기기,휴대폰
에스케이텔레콤 SKT 갤럭시 Z Flip6 : 육대급혜택편,2024-07-23,30.0,컴퓨터및정보통신,통신기기,휴대폰
엑시옴 참피온 탁구대 : 50주년 기념편,2024-07-23,15.0,가정용품,"취미,레저용품","취미,레저용품제품종합"
하나은행 외환 : 손흥민 하나뿐인 내편,2024-07-23,15.0,"금융,보험및증권",금융및보험,은행
종근당 : 성인 비타민 벤포벨S 카페편,2024-07-23,15.0,제약및의료,대사성의약,성인종합영양제
명인제약 : 이가탄 세대편 수정2,2024-07-23,15.0,제약및의료,"이비인후,치과및안과용제",구내염용제
월트디즈니 : 데드풀과 울버린 절찬 상영중,2024-07-23,15.0,서비스,서비스기타,서비스기타
명인제약 : 이가탄 엔딩 멘트 수정,2024-07-23,15.0,제약및의료,"이비인후,치과및안과용제","이비인후,치과및안과용제제품종합"
오비맥주 : 카스 올림픽 시즌 메달존,2024-07-23,30.0,음료및기호식품,알콜음료,맥주
