광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,mid_cluster,major_cluster
미래효자장례타운 아리움 : 지켜드리겠습니다 등록증편,2024-07-30,20.0,서비스,개인서비스,경조서비스,9,J
산업단지닷컴 평택브레인시티 : 분양 문의편,2024-07-30,15.0,"건설,건재및부동산",부동산임대및매매,건물임대및매매,52,C
인터브랜드 라이나 : 집중편,2024-07-30,15.0,"금융,보험및증권",금융및보험,금융및보험제품종합,24,G
아모레퍼시픽 설화수 자음생크림 : 완성하다편,2024-07-30,15.0,화장품및보건용품,여성기초화장품,여성일반기초화장품,80,T
AIA생명보험 AIA건강암보험 : 다이얼서큘레이터편,2024-07-30,60.0,"금융,보험및증권",금융및보험,생명보험,24,G
아카데미과학 포켓몬 LCD게임 몬스터볼 : 잡자편,2024-07-30,15.0,가정용품,완구류,일반완구,86,B
이베스트투자증권 LS증권 : 잘 가시게편,2024-07-30,15.0,"금융,보험및증권",주식및유가증권,주식증권,115,G
넷플릭스  오징어게임2 : 레이스편,2024-07-30,15.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타,127,R
한국타이어앤테크놀로지 티스테이션 : 스마트페이편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,15,U
메이푸드 : 특허기술편,2024-07-30,20.0,음료및기호식품,비알콜음료,기능성건강음료,53,N
한국타이어앤테크놀로지 티스테이션 : 픽업 앤 딜리버리편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,15,U
사회복지공동모금회 사랑의열매 : 폼 나는 나눔플랫폼편,2024-07-30,15.0,교육및복지후생,복지후생기관,복지후생기관제품종합,51,E
링티 : 어린이집편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,95,N
케이티 KT 로밍  : 함께 쓰는 로밍편,2024-07-30,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
오비맥즈 카스 : 올림픽편,2024-07-30,30.0,음료및기호식품,알콜음료,맥주,78,N
한국타이어앤테크놀로지 티스테이션 : 오늘 서비스편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,15,U
엘지전자 PR :  공간 미래 연결하다편,2024-07-30,30.0,그룹및기업광고,그룹광고,그룹PR,21,F
사회복지공동모금회 사랑의열매 : 폼나는 나눔 플랫폼편,2024-07-30,30.0,교육및복지후생,복지후생기관,복지후생기관제품종합,51,E
