광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,mid_cluster,major_cluster
제이엔비 프로쉬 세탁세제 : 식물에서 온 놀라운 세척력편,2023-07-10,30.0,화장품및보건용품,세제류,세탁세제,61,T
PONOS 냥코대전쟁 : 9주년 이벤트편,2023-07-10,15.0,컴퓨터및정보통신,컴퓨터게임,모바일게임,126,R
우주텍 르무통 : 글래드호텔편,2023-07-10,15.0,패션,신발류,캐주얼화,76,S
고창군청 고창군 여행 홍보 : 우리가 만날 최고의 여름 고창편,2023-07-10,20.0,서비스,문화및공연,지역 및 문화축제,44,J
제이엔비 프로쉬 세탁세제 : 식물에서 온 놀라운 세척력편,2023-07-10,15.0,화장품및보건용품,세제류,세탁세제,61,T
카카오게임즈 아레스 : 7월 정식 출시편,2023-07-10,30.0,컴퓨터및정보통신,컴퓨터게임,모바일게임,126,R
우주텍 르무퉁 : 신어요편,2023-07-10,15.0,패션,신발류,캐주얼화,76,S
유한양행 해피홈 파워캡슐 : 아니다 빠이네박편,2023-07-10,15.0,화장품및보건용품,세제류,세탁세제,61,T
카카오게임즈 아레스 : 정식출시편,2023-07-10,15.0,컴퓨터및정보통신,컴퓨터게임,모바일게임,126,R
보령시청 보령 홍보 : 설레게 하는편,2023-07-10,30.0,관공서및단체,중앙및지방관공서,지방자치단체,117,D
우주텍 르무통 : 사진작가 수정편,2023-07-10,15.0,패션,신발류,캐주얼화,76,S
광동제약 비타500 제로 : 가드득편,2023-07-10,30.0,음료및기호식품,비알콜음료,기능성건강음료,53,N
영실업 : 또봇 SOS편,2023-07-07,30.0,가정용품,완구류,일반완구,86,B
"유한양행 해피홈 파워캡슐 : 세제가 아니다, 올인원이다편",2023-07-07,15.0,화장품및보건용품,세제류,세탁세제,61,T
한국인삼협회 인삼판촉 캠페인편,2023-07-07,30.0,관공서및단체,단체,민간단체,36,D
일동후디스 하이뮨 프로틴 밸런스 : 채워주네요 송편,2023-07-07,30.0,식품,건강식품,건강보조식품,10,L
케이티 KT AI 보이스 : KT AI 쉽네편,2023-07-07,30.0,컴퓨터및정보통신,통신정보서비스,인터넷서비스,131,R
"넥센타이어 : NEXT SAFETY, 맨시티 방한편",2023-07-07,30.0,그룹및기업광고,기타광고,기타기업PR,26,F
금호타이어 EV : 전기차 대상 이벤트편,2023-07-07,15.0,수송기기,수송기기부품및용품,수송기기부품및용품기타,66,K
유한양행 해피홈 파워캡슐 : 장민호의 해피홈 메들리편,2023-07-07,30.0,화장품및보건용품,세제류,세탁세제,61,T
일동후디스 하이뮨 프로틴 밸런스 : 지금은 하이뮨 시대편,2023-07-07,15.0,식품,건강식품,건강보조식품,10,L
영실업 : 또봇 SOS편,2023-07-07,15.0,가정용품,완구류,일반완구,86,B
제이시스메디칼  DENSITY : 런칭편,2023-07-07,30.0,제약및의료,의료기기,의료기기기타,98,P
제이시스메디칼  DENSITY : 런칭편,2023-07-07,15.0,제약및의료,의료기기,의료기기기타,98,P
"엘지유플러스 티비 : OTT, 이제 보는 사람 중심으로편",2023-07-07,30.0,컴퓨터및정보통신,방송,IPTV,46,R
비에이치씨 스윗킹 폭립 : 7월 프로모션편,2023-07-07,15.0,서비스,음식및숙박,기타프랜차이즈점,96,J
카피바라 임실치즈테마파크 : 아쿠아 페스티벌편,2023-07-07,20.0,그룹및기업광고,기타광고,기타기업기타,26,F
엘지생활건강 닥터그루트 밀도케어 : 감아라편,2023-07-07,15.0,화장품및보건용품,모발및목욕용제,"샴푸,린스",42,T
엘지전자 LG 휘센 : 내심바람 수정편,2023-07-07,30.0,가정용전기전자,냉방및공기청정기,에어컨,31,A
한국인삼협회 인삼 홍보 : 하루 한삼편,2023-07-07,40.0,관공서및단체,단체,민간단체,36,D
일동후디스 하이뮨 프로틴밸런스 : 5초 수정편,2023-07-07,15.0,식품,건강식품,건강보조식품,10,L
한국인삼협회 인삼 홍보 : 하루 한삼편,2023-07-07,15.0,관공서및단체,단체,민간단체,36,D
천안시의회 : 1주년 기념 광고편,2023-07-06,20.0,관공서및단체,중앙및지방관공서,중앙관공서,117,D
유한양행 해피홈 파워캡슐 : 아니다편,2023-07-06,15.0,화장품및보건용품,세제류,세탁세제,61,T
영케미칼 뽀로로밴드 : 복수편,2023-07-06,15.0,제약및의료,의료용품,밴드류,100,P
전라남도청 전라남도 방문의 해 : 초대합니다편,2023-07-06,30.0,관공서및단체,중앙및지방관공서,지방자치단체,117,D
유한양행 해피홈 파워캡슐 : 아니다편,2023-07-06,30.0,화장품및보건용품,세제류,세탁세제,61,T
케이티 KT 가족만족 로밍 : 해외여행편,2023-07-06,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
장수산업 장수돌침대 : 쏘쿨편,2023-07-06,15.0,그룹및기업광고,그룹광고,그룹PR,21,F
엘지유플러스 U+tv next : 필요없이편,2023-07-06,30.0,컴퓨터및정보통신,방송,IPTV,46,R
카카오모빌리티 카카오T : 파리편,2023-07-06,15.0,컴퓨터및정보통신,통신정보서비스,모바일콘텐츠서비스,131,R
한국음악저작권협회 : 지킵니다편,2023-07-06,15.0,그룹및기업광고,기타광고,기타기업PR,26,F
유한양행 해피홈 파워캡슐 : 행복한집을 위한 해피솔루션편,2023-07-06,15.0,화장품및보건용품,세제류,세탁세제,61,T
한국음악저작권협회 : 지킵니다편,2023-07-06,30.0,그룹및기업광고,기타광고,기타기업PR,26,F
아일랜드원 더샵 연동애비뉴 : 그 시작편,2023-07-06,20.0,"건설,건재및부동산",부동산임대및매매,아파트임대및매매,52,C
메타 중흥골드스파앤리조트 : 전체개장편,2023-07-06,20.0,서비스,스포츠및오락시설,리조트,69,J
하이모 : 자신감편,2023-07-06,15.0,화장품및보건용품,화장도구,가발류,136,T
장흥군청 장흥물축제 : 놓치지 마세요편,2023-07-06,20.0,관공서및단체,중앙및지방관공서,지방자치단체,117,D
그린랜드 수영장펜션 : 날리세요편,2023-07-06,20.0,서비스,음식및숙박,음식및숙박기타,96,J
카카오모빌리티 카카오T : 베트남 다낭편,2023-07-06,15.0,컴퓨터및정보통신,통신정보서비스,모바일콘텐츠서비스,131,R
엘지유플러스 U+tv : 유플러스TV NEXT편,2023-07-06,30.0,컴퓨터및정보통신,방송,IPTV,46,R
잡코리아 알바몬 : 여름편,2023-07-06,15.0,서비스,개인서비스,직업소개,9,J
지온메디텍 듀얼소직맥시멈 : 아쿠아민트 공개편,2023-07-06,15.0,화장품및보건용품,화장품및보건용품기타,화장품및보건용품기타,137,T
특허청 : 지식재산보호 캠페인편,2023-07-06,30.0,관공서및단체,중앙및지방관공서,중앙관공서,117,D
우리금융지주 기업PR : 런칭편,2023-07-06,30.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",23,G
우리금융지주 기업PR : 밀어준다편,2023-07-06,30.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",23,G
아쿠쉬네트코리아 타이틀리스트 : OUTPERFORM편,2023-07-06,15.0,서비스,스포츠및오락시설,스포츠및오락시설제품종합,69,J
플랜한국위원회 정기후원 : 플랜코리아 위드플랜편,2023-07-06,30.0,관공서및단체,단체,민간단체,36,D
농심켈로그 프링글스 : 베이스볼편,2023-07-05,30.0,식품,제과,스낵,107,L
농심켈로그 프링글스 : 베이스볼편,2023-07-05,15.0,식품,제과,스낵,107,L
쇼박스 비공식작전 : 8월 극장 대개봉편,2023-07-05,15.0,서비스,문화및공연,영화,44,J
낙원추모공원 에데나 : 프리미엄 봉안당편,2023-07-05,20.0,서비스,전문서비스,전문서비스기타,105,J
럭시플로라 바이오 진관진 프리미엄 : 엄홍길편,2023-07-05,30.0,식품,건강식품,건강보조식품,10,L
우주텍 르무통 : 딩고는 르무통을 신습니다편,2023-07-05,15.0,패션,신발류,캐주얼화,76,S
동서식품 포스트 그래놀라 : 당신이 1등편,2023-07-05,30.0,식품,대용식품,씨리얼,38,L
아쿠아티카 : 래쉬가드는 아쿠아티카편,2023-07-05,15.0,패션,스포츠전문복,스포츠전문복기타,70,S
에치와이 뭴러스 오메가3 : 뭴러스는 오직 프레딧에서편,2023-07-05,15.0,식품,건강식품,건강보조식품,10,L
"플랜코리아 후원 : 위드플랜, 오상진편",2023-07-05,30.0,관공서및단체,단체,민간단체,36,D
장흥군청 제16회 정남진 장흥물축제 : 행사 안내편,2023-07-05,20.0,서비스,문화및공연,지역 및 문화축제,44,J
링티 : 링티는 링거가 아닙니다편,2023-07-05,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,95,N
럭시플로라 바이오 진관진 프리미엄 : 엄홍길편,2023-07-05,15.0,식품,건강식품,건강보조식품,10,L
우주텍 르무통 : 취는 르무통을 신습니다편,2023-07-05,15.0,패션,신발류,캐주얼화,76,S
잡코리아 알바몬 : 여름편,2023-07-05,15.0,서비스,개인서비스,직업소개,9,J
제이시스메디칼 DENSITY : 고주파 이영애가 묻다편,2023-07-05,15.0,제약및의료,의료기기,의료기기기타,98,P
위대한상상 요기요 요기패스 : 7월 프로모션편,2023-07-05,15.0,서비스,서비스기타,서비스기타,58,J
영월군청 동강뗏목축제 : 국가대표선발전편,2023-07-05,30.0,관공서및단체,중앙및지방관공서,지방자치단체,117,D
현대해상화재보험 현대해상 다이렉트 자동차보험 : 한 번에편,2023-07-05,15.0,"금융,보험및증권",금융및보험,손해보험,24,G
삼성전자 Neo QLED 8K : Private Gaming Hub편,2023-07-05,45.0,가정용전기전자,영상기기,TV,84,A
현대해상화재보험 현대해상 다이렉트 자동차보험 : 한 번에 수정편,2023-07-05,15.0,"금융,보험및증권",금융및보험,손해보험,24,G
우주텍 르무통 : 글래드호텔편,2023-07-05,15.0,패션,신발류,캐주얼화,76,S
우주텍 르무통 : 사진작가편,2023-07-05,15.0,패션,신발류,캐주얼화,76,S
위대한상상 요기요 : 요기패스 배달비가 뚝편,2023-07-05,15.0,서비스,서비스기타,서비스기타,58,J
하림 닭가슴살햄 챔 : 햄을 끊었다편,2023-07-05,15.0,식품,축산품,햄및소시지,120,L
케이티 KT AI보이스 : 쉽네편,2023-07-05,30.0,컴퓨터및정보통신,통신정보서비스,인터넷서비스,131,R
제이시스메디칼 DENSITY : 자신감을 채우다편,2023-07-05,30.0,제약및의료,의료기기,의료기기기타,98,P
웰니스글로벌 웰니스샴푸바 : 선택편,2023-07-05,30.0,화장품및보건용품,화장품및보건용품기타,화장품및보건용품기타,137,T
창원스파랜드 스파더스페이스 : 누리세요편,2023-07-05,20.0,서비스,개인서비스,목욕,9,J
에스아이(SI)커뮤니케이션 농촌융복합산업 제주국제박람회 : 바랍니다편,2023-07-05,30.0,서비스,서비스기타,서비스기타,58,J
넥스트엔터테인먼트월드 밀수 : 대개봉편,2023-07-05,15.0,서비스,문화및공연,영화,44,J
링티 : 마시는 거 링티코어편,2023-07-05,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,95,N
미미월드 긴머리미미 : 파마헤어샵편,2023-07-05,15.0,가정용품,완구류,작동완구,86,B
초이락컨텐츠컴퍼니 헬로카봇 : 토터젬 샵편,2023-07-05,20.0,가정용품,완구류,완구류제품종합,86,B
영월군청 동강국제사진제 : 만나요편,2023-07-04,15.0,관공서및단체,중앙및지방관공서,지방자치단체,117,D
삼성전자 삼성절전가전 : 요즘 가전다운 삼성 절전 가전편,2023-07-04,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자제품종합,5,A
링티 : 링티는 링거가 아닙니다편,2023-07-04,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,95,N
케이티 KT 로밍 데이터 함께 ON : 가족만족 프로젝트편,2023-07-04,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
케이티 KT 로밍 데이터 함께 ON : 가족만족 프로젝트편,2023-07-04,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
"엘지유플러스 티비 : OTT, 이제 보는 사람 중심으로편",2023-07-04,30.0,컴퓨터및정보통신,방송,IPTV,46,R
오뚜기 짜슐랭 : 복작복작 조리법편,2023-07-04,15.0,식품,면류,봉지인스턴트면류,41,L
"오비맥주 한맥 : 부드럽게 부드럽게 달라지다, 한맥편",2023-07-04,45.0,음료및기호식품,알콜음료,맥주,78,N
신용협동조합중앙회 신협보험 : 행복내비게이션 송편,2023-07-04,30.0,"금융,보험및증권",금융및보험,금융및보험기타,24,G
신용협동조합중앙회 신협보험 : 행복내비게이션 송편,2023-07-04,15.0,"금융,보험및증권",금융및보험,금융및보험기타,24,G
신용협동조합중앙회 신협보험 : 행복내비게이션 송편,2023-07-04,30.0,"금융,보험및증권",금융및보험,금융및보험기타,24,G
에치와이 뭴러스 오메가3 : 뭴러스는 오직 프레딧에서편,2023-07-04,15.0,식품,건강식품,건강보조식품,10,L
에치와이 뭴러스 오메가3 : 뭴러스는 오직 프레딧에서편,2023-07-04,15.0,식품,건강식품,건강보조식품,10,L
하이모 하이모레이디 : 레이디와 함께헤어편,2023-07-04,15.0,화장품및보건용품,화장도구,가발류,136,T
함안군청 강주해바라기축제 : 놀러오세요편,2023-07-04,15.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,16,D
레고랜드 : 워터메이즈 개장편,2023-07-04,30.0,서비스,서비스기타,서비스기타,58,J
오뚜기 짜슐랭 : 복작복작편,2023-07-04,30.0,식품,면류,봉지인스턴트면류,41,L
롯데컬처웍스 콘크리트유토피아 : 대개봉편,2023-07-04,15.0,서비스,문화및공연,영화,44,J
레고랜드코리아 워터메이즈 : 만나요편,2023-07-04,15.0,서비스,서비스기타,서비스기타,58,J
케이티 KT 로밍 데이터 함께ON : 가족만족편,2023-07-04,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
엘지유플러스 U+tv next : 보기 좋은 생각편,2023-07-04,30.0,컴퓨터및정보통신,방송,IPTV,46,R
링티 : 마시는 거 엔드바터편,2023-07-04,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,95,N
신용협동조합중앙회 신협 보험 : 행복내비 켜세요편,2023-07-04,30.0,"금융,보험및증권",금융및보험,금융및보험기타,24,G
씨제이이엔엠 더 문 : 극장 개봉편,2023-07-04,15.0,서비스,문화및공연,영화,44,J
신용협동조합중앙회 신협 보험 : 행복내비 켜세요 송편,2023-07-04,30.0,"금융,보험및증권",금융및보험,금융및보험기타,24,G
신용협동조합중앙회 신협 보험 : 행복내비 켜세요편,2023-07-04,15.0,"금융,보험및증권",금융및보험,금융및보험기타,24,G
신용협동조합중앙회 신협 보험 : 행복내비 켜세요 수정편,2023-07-04,15.0,"금융,보험및증권",금융및보험,금융및보험기타,24,G
경희 크리스피바바 : 양모로편,2023-07-04,30.0,가정용품,가정용인테리어,침구류및솜,4,B
에스아이(SI)커뮤니케이션 귤로장생 : 건강쌩쌩페스티벌편,2023-07-04,30.0,서비스,서비스기타,서비스기타,58,J
삼성전자 삼성절전가전 : 내려갑니다 재수정편,2023-07-04,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자제품종합,5,A
아쿠아티카 래쉬가드 : 래쉬가드는 아쿠아티카편,2023-07-04,30.0,패션,스포츠전문복,스포츠웨어,70,S
신용협동조합중앙회 신협보험 : 행복내비게이션 송편,2023-07-04,15.0,"금융,보험및증권",금융및보험,금융및보험기타,24,G
군산필스 : HOT세일편,2023-07-04,20.0,서비스,서비스기타,서비스기타,58,J
닥터오레고닌 기업 PR : 자연에서 찾은 건강 솔루션편,2023-07-03,20.0,화장품및보건용품,화장품및보건용품기타,화장품및보건용품기업PR,137,T
일동후디스 하이뮨 프로틴 밸런스 : 채워주네요 송편,2023-07-03,15.0,식품,건강식품,건강보조식품,10,L
해피꽃배달 고인범꽃배달 : 고인범의 36000 꽃배달편,2023-07-03,15.0,서비스,서비스기타,서비스제품종합,58,J
아쿠쉬네트코리아 타이틀리스트 :  압도적인 퍼포먼스를 경험해 보세요편,2023-07-03,15.0,서비스,스포츠및오락시설,스포츠및오락시설제품종합,69,J
"기아 모닝 : 19시, 데이터 엔지니어의 모닝편",2023-07-03,30.0,수송기기,승용자동차,경승용차,71,K
화순센터시티지역주택조합 : 화순센터시티 4차 조합원 모집편,2023-07-03,20.0,"건설,건재및부동산",부동산임대및매매,부동산임대및매매기타,52,C
삼성카드 강원사랑 페스타 : 강원도 사랑한다 A편,2023-07-03,15.0,"금융,보험및증권",금융및보험,신용카드,24,G
넷플릭스 7월 라인업 : 요즘 넷플 뭐봄편,2023-07-03,15.0,서비스,문화및공연,문화및공연기타,44,J
쇼박스 비공식작전 : 8월 극장 대개봉편,2023-07-03,15.0,서비스,문화및공연,영화,44,J
넷플릭스 스토리텔링 : 링컨 차를 타는 변호사편,2023-07-03,30.0,서비스,문화및공연,문화및공연기타,44,J
"기아 모닝 : 12시, 신상맛집 사장님의 모닝편",2023-07-03,30.0,수송기기,승용자동차,경승용차,71,K
일동후디스 하이뮨 프로틴 밸런스 : 지금은 하이뮨 시대편,2023-07-03,15.0,식품,건강식품,건강보조식품,10,L
오비맥주 한맥 : 불꽃편,2023-07-03,15.0,음료및기호식품,알콜음료,맥주,78,N
신세계이마트부문 신세계유니버스 : 혜택편,2023-07-03,30.0,유통,유통기타,유통기타,94,M
거창군청 제33회 거창국제연극제 : 박상원편,2023-07-03,20.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,16,D
경희 크리스피바바 : 썸머 캠페인편,2023-07-03,15.0,가정용품,가정용인테리어,침구류및솜,4,B
산장웅계 : 맛있계편,2023-07-03,20.0,서비스,음식및숙박,대중음식점,96,J
롯데컬처웍스 미션임파서블 데드레코닝 파트원 : 대개봉편,2023-07-03,15.0,서비스,문화및공연,영화,44,J
일동후디스 하이뮨 프로틴밸런스 : 5초편,2023-07-03,15.0,식품,건강식품,건강보조식품,10,L
삼성카드 : 강원사랑 페스타 사세요편,2023-07-03,15.0,"금융,보험및증권",금융및보험,신용카드,24,G
새한농자재 새한나무병원 : 만드는편,2023-07-03,20.0,제약및의료,농축산약제,가축용약품,34,P
오경 봄바람사과 : 튼튼하게편,2023-07-03,20.0,기초재,농축수산기초재,농축수산기초재기타,35,H
평창군청 평창더위사냥축제 : 떠나자편,2023-07-03,30.0,관공서및단체,중앙및지방관공서,지방자치단체,117,D
기아 더뉴모닝 : 밝았습니다편,2023-07-03,30.0,수송기기,승용자동차,경승용차,71,K
넷플릭스서비시스코리아 넷플릭스 : 뭐봄 다큐편,2023-07-03,30.0,서비스,문화및공연,문화및공연기타,44,J
해피꽃배달 꽃프로 : 꽃배달은편,2023-07-03,15.0,서비스,개인서비스,개인서비스제품종합,9,J
종근당건강 아이클리어 : 다 늦기 전에편,2023-07-03,30.0,식품,건강식품,건강식품제품종합,10,L
미미월드 리틀미미 코디가방 : 미미비츠로 꾸미는편,2023-06-30,20.0,가정용품,완구류,일반완구,86,B
대한전문건설협회 전라남도회 : 무안국제공항 통합이전편,2023-06-30,30.0,서비스,서비스기타,서비스기타,58,J
에스케이텔레콤 T로밍 :헤헤혜택 더 줌편,2023-06-30,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
미미월드 리틀미미 코디가방 : 미미비츠로 꾸미는편,2023-06-30,15.0,가정용품,완구류,일반완구,86,B
더펠로우십 정기후원 : 우크라이나 긴급구호편,2023-06-30,60.0,관공서및단체,단체,민간단체,36,D
한국피앤지판매 페브리즈 : 탈취비법편,2023-06-30,15.0,가정용품,방취및방균제,방취및방향제,47,B
한국토요타자동차 크라운 : 런칭편,2023-06-30,15.0,수송기기,수입자동차,수입자동차기타,67,K
인코미디어넷 우리집 보험주치의 : 매달 내는 보험료편,2023-06-30,60.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",23,G
화순복숭아연합회영농조합 화순명품복숭아축제 : 화순의 여름편,2023-06-30,20.0,서비스,문화및공연,지역 및 문화축제,44,J
인코미디어넷  악사 나를 지켜주는 암보험 : 4가지 보장 하나로편,2023-06-30,60.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",23,G
웰메이드네이처 호관원 프리미엄 골드 : 고객감사 이벤트편,2023-06-30,30.0,식품,건강식품,건강식품기타,10,L
아르떼미디어 세일 행사 : 화재보상 물품 공개처분편,2023-06-30,30.0,유통,유통기타,유통기타,94,M
샤크닌자  샤크 에보파워 무선청소기 : 청소를 파워풀하고 간편하게편,2023-06-29,30.0,가정용전기전자,가사용전기전자,청소기,2,A
강원특별자치도 출범 경축 : 관공서편,2023-06-29,20.0,관공서및단체,관공서및단체기타,관공서및단체기타,16,D
헤일리온코리아 센트룸 프로바이오 면역 케어 : 면역을 올려주자편,2023-06-29,15.0,식품,건강식품,건강보조식품,10,L
GSK코리아 센트룸 프로바이오 나이트 케어 : 숙면권을 지켜주자편,2023-06-29,15.0,식품,건강식품,건강보조식품,10,L
GSK코리아 센트룸 프로바이오 슬림 케어 : 채워서 빼는 시대편,2023-06-29,15.0,식품,건강식품,건강보조식품,10,L
라이나생명보험 더든든한 간병비 치매보험 : 기억을 훔치다편,2023-06-29,60.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",23,G
경희 크리스피바바 : 썸머 캠페인편,2023-06-29,15.0,가정용품,가정용인테리어,침구류및솜,4,B
라이나생명보험 더든든한 간병비 치매보험 : 기억을 훔치다편,2023-06-29,60.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",23,G
에프엠케이 마세라티 그레칼레 :  New SUV편,2023-06-29,30.0,수송기기,수입자동차,수입승용차,67,K
제이엔비 프로쉬 세탁세제 : 식물에서 온 놀라운 세척력편,2023-06-29,30.0,화장품및보건용품,세제류,세탁세제,61,T
동아오츠카_나랑드사이다 제로 : 아무것도 없다 맛만 있다편,2023-06-29,15.0,음료및기호식품,비알콜음료,사이다,53,N
퍼니플럭스 극장판 슈퍼윙스 : 7월 대개봉편,2023-06-29,15.0,서비스,문화및공연,영화,44,J
넷플릭스 7월 라인업 : 요즘 넷플 뭐봄편,2023-06-29,30.0,서비스,문화및공연,문화및공연기타,44,J
광주예술의전당 광주시립국악관현악단 정기연주회편,2023-06-29,20.0,서비스,문화및공연,공연,44,J
제이엔비 프로쉬 세탁세제 : 식물에서 온 놀라운 세척력편,2023-06-29,15.0,화장품및보건용품,세제류,세탁세제,61,T
제주삼다수 : 한결같으니까편,2023-06-29,15.0,음료및기호식품,비알콜음료,생수,53,N
제주삼다수 : 단일 수원지니까편,2023-06-29,15.0,음료및기호식품,비알콜음료,생수,53,N
한국피앤지판매 다우니 : 비가 와도편,2023-06-29,15.0,화장품및보건용품,세제류,세탁세제,61,T
삼성전자 삼성절전가전 : 내려갑니다 수정편,2023-06-29,30.0,가정용전기전자,가정용전기전자기타,가정용전기전자제품종합,5,A
네슬레코리아 네스프레소 : 믿을 수 없군편,2023-06-29,30.0,음료및기호식품,비알콜음료,"커피,코코아음료",53,N
엘지전자 LG 휘센 : 내심바람편,2023-06-29,30.0,가정용전기전자,냉방및공기청정기,에어컨,31,A
샤크닌자 샤크 에보파워 : 파워풀하고 간편하게편,2023-06-29,15.0,가정용전기전자,가사용전기전자,청소기,2,A
퍼니플럭스 슈퍼윙스 티노X : 떠나볼까 미니버스편,2023-06-29,20.0,가정용품,완구류,작동완구,86,B
퍼니플럭스 슈퍼윙스 월드로봇 : 더 강력해진편,2023-06-29,20.0,가정용품,완구류,작동완구,86,B
웅진헬스원 웅진 오직 : 상담하세요편,2023-06-29,30.0,식품,건강식품,건강식품기타,10,L
비엠더블유코리아 MINI : BIG LOVE 웜플레이스편,2023-06-29,30.0,수송기기,승용자동차,소형승용차,71,K
에스케이텔레콤 헤헤혜택 더줌 : 영청년이니까편,2023-06-29,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
에프엠케이 마세라티 그레칼레 : 만나보세요편,2023-06-29,15.0,수송기기,수입자동차,수입승용차,67,K
월트디즈니컴퍼니코리아 형사록2 : 지금 스트리밍중편,2023-06-29,15.0,서비스,서비스기타,서비스기타,58,J
혜인식품 레드마블치킨 : 마블링편,2023-06-29,15.0,식품,축산품,치킨가공품,120,L
GSK코리아 센트룸 프로바이오 : 슬림케어편,2023-06-29,15.0,식품,건강식품,건강보조식품,10,L
에스케이브로드밴드 B tv pop : IPTV 고객편,2023-06-29,15.0,컴퓨터및정보통신,방송,IPTV,46,R
한국아이에프씨제이 정기후원 : 전쟁피해자 지원편,2023-06-29,60.0,관공서및단체,단체,단체기타,36,D
경희크리스피바바 양모이불 : 썸머캠페인편,2023-06-29,30.0,가정용품,가정용인테리어,침구류및솜,4,B
호텔스컴바인드코리아 호텔스컴바인 : 여름편,2023-06-29,15.0,서비스,음식및숙박,음식및숙박기타,96,J
행정안전부 : 풍수해보험 가입 캠페인편,2023-06-29,40.0,관공서및단체,중앙및지방관공서,중앙관공서,117,D
경기도청 : 기회소득편,2023-06-29,15.0,관공서및단체,중앙및지방관공서,지방자치단체,117,D
굿모닝가구백화점 : 7월 행사편,2023-06-29,20.0,서비스,서비스기타,서비스기타,58,J
바이엘코리아 비판텐 : 우리가족 피부염 치료제편,2023-06-28,15.0,제약및의료,두피및피부용제,피부질환치료제,40,P
가스트론 기업PR : 지킴이 쉬워지다편,2023-06-28,15.0,"건설,건재및부동산",건설,건설,11,C
참돈까스 업소홍보 : 한돈의 참맛편,2023-06-28,20.0,서비스,음식및숙박,대중음식점,96,J
한국인삼공사 정관장 에브리타임 : 썸머온 프로모션편,2023-06-28,15.0,식품,건강식품,건강보조식품,10,L
현대자동차 캐스퍼 : 야간주행편,2023-06-28,30.0,수송기기,승용자동차,경승용차,71,K
애드바이져 반장 : 반려동물 장례 B편,2023-06-28,30.0,서비스,개인서비스,경조서비스,9,J
하이모 : 살린다편,2023-06-28,15.0,패션,패션기타,패션기타,134,S
현대자동차 캐스퍼 : 험로주행편,2023-06-28,30.0,수송기기,승용자동차,경승용차,71,K
애드바이져 반장 : 반려동물 장례 B편,2023-06-28,20.0,서비스,개인서비스,경조서비스,9,J
"야놀자 기업PR : 신세경, 방콕편",2023-06-28,15.0,서비스,여행,여행알선,83,J
제이시스메디칼 DENSITY : 앞으로는편,2023-06-28,15.0,제약및의료,의료기기,의료기기기타,98,P
"써브웨이 브랜딩 캠페인 :널 만나면 기분이 좋아져 eat fresh, feel good편",2023-06-28,15.0,식품,제빵,"햄버거,피자및샌드위치",108,L
바디팩토리 첨단 하이퍼포먼스 트레이닝 센터 : 국대 출신 트레이너편,2023-06-28,20.0,서비스,개인서비스,개인서비스기타,9,J
한국동서발전 에너지 절약 캠페인 : 당신의 에너지 센스편,2023-06-28,40.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,16,D
롯데웰푸드자일리톨 : 자기 전에 자일리톨편,2023-06-28,15.0,식품,제과,제과기타,107,L
현대자동차  캐스퍼  : 캠핑편,2023-06-28,30.0,수송기기,승용자동차,경승용차,71,K
저출산고령사회위원회 출산 캠페인 : 너를 만나 새로운 나로편,2023-06-28,30.0,관공서및단체,중앙및지방관공서,중앙관공서,117,D
호텔스컴바인드코리아 호텔스컴바인 : 컴바인싸편,2023-06-28,15.0,서비스,음식및숙박,음식및숙박기타,96,J
롯데아사히주류 아사히 수퍼드라이 : 필요합니다편,2023-06-28,30.0,음료및기호식품,알콜음료,맥주,78,N
프리미엄 호당원프리미엄골드 : 받아보세요편,2023-06-28,30.0,식품,건강식품,건강보조식품,10,L
야놀자 : 계산적으로 방콕편,2023-06-28,15.0,서비스,여행,여행알선,83,J
제일모직(주)에버랜드리조트 캐리비안베이 : 풀파티 수정편,2023-06-28,15.0,서비스,스포츠및오락시설,리조트,69,J
반장 : 갑작스러운 이별 수정편,2023-06-28,15.0,서비스,개인서비스,경조서비스,9,J
모메드솔루션 캡티칭 : 여긴편,2023-06-28,30.0,교육및복지후생,교육기관,기술및자격학원,18,E
