행 번호,광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,AISAC_URL,실제재생초수
33103,한화 기업PR : 탄소발자국편,2020-09-25,45.0,그룹및기업광고,그룹광고,그룹PR,(주)한화,(주)이노션,플랜잇,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794620F02_1-20-TH-09-861,45.05
33104,삼성 갤럭시 : 만나지 못해 그리운 사람에게편_30,2020-09-25,30.0,컴퓨터및정보통신,컴퓨터,"팜탑PC및PDA, 태블릿컴퓨터",삼성전자(주),(주)제일기획,MAT,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794640F02_1-20-TJ-09-164,30.03
33105,영실업 콩순이 코딩 붕어빵가게 : 팥맛이지편,2020-09-25,15.0,가정용품,완구류,완구류제품종합,주식회사 영실업,(주)대홍기획,(주)영상네트워크,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794669F02_1-20-TH-09-754,20.02
33106,LG DIOS 식기세척기_30,2020-09-25,30.0,가정용품,주방용품,주방용품기타,엘지전자(주),(주)에이치에스애드,시대의 시선,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/821537H01_1_22-TH-03-947,30.03
33107,삼성 갤럭시 : 만나지 못해 그리운 사람에게편_30,2020-09-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,MAT,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794640F02_1-20-TJ-09-164,30.03
33109,경기도시장상권진흥원 경기지역 화폐 : 생활의 보너스편,2020-09-25,30.0,그룹및기업광고,기타광고,기타기업기타,(재)경기도시장상권진흥원,한국언론진흥재단,농심기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794651F02_1-20-TH-09-928,30.03
33110,삼성 비스포크 김치플러스_김치_30,2020-09-25,30.0,가정용전기전자,주방용전기전자,전기저장고,삼성전자(주),(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794630F02_1-20-TJ-09-058,30.03
33111,아비브_비워서 채운 완벽함,2020-09-25,15.0,화장품및보건용품,여성기초화장품,여성일반기초화장품,주식회사 포컴퍼니,직거래,(주)꾸욱꾸욱,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794678F02_1-20-TJ-09-038,15.02
33112,카카오게임즈_가디언테일즈_30,2020-09-25,30.0,컴퓨터및정보통신,컴퓨터게임,온라인게임,(주)카카오게임즈,(주)농심기획,농심기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794634F02_1-20-TJ-09-073,30.03
33113,제주국제감귤박람회조직위원회  : 제주감귤박람회 홍보편,2020-09-25,15.0,그룹및기업광고,그룹광고,그룹기타,제주국제감귤박람회조직위원회,한국언론진흥재단,주식회사 아일랜드스토리,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794397F02_1-20-TH-09-844,15.02
33114,칠성사이다 : 사이다를 더 청량하게편_20,2020-09-25,15.0,음료및기호식품,비알콜음료,사이다,(주)롯데칠성음료,(주)대홍기획,(주)대홍기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794689F02_1-20-TX-09-061,15.02
33115,삼성 갤럭시 : 만나지 못해 그리운 사람에게편_30,2020-09-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,MAT,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794640F02_1-20-TJ-09-164,30.03
33116,전라남도청_남도장터_15,2020-09-25,15.0,관공서및단체,중앙및지방관공서,지방자치단체,전라남도청,한국언론진흥재단,주)프로덕션고추잠자리,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794649F02_1-20-TJ-09-140,15.02
33117,한국피앤지판매 페브리즈 : 베이스편,2020-09-25,15.0,가정용품,방취및방균제,방취및방균제제품종합,한국피앤지판매 유한회사,그룹엠코리아 주식회사,(주)아스트로보이픽쳐스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794657F02_1-20-TH-09-458,15.02
33118,세라젬_부부_15,2020-09-25,15.0,제약및의료,의료기기,의료기기기타,(주)세라젬,(주)대홍기획,대홍기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794656F02_1-20-TJ-09-097,15.02
33119,한국폴리텍대학 홍성캠퍼스 수시모집,2020-09-25,10.0,교육및복지후생,교육기관,대학대학원,한국폴리텍대학홍성캠퍼스,주식회사쿠키뉴스대전충남취재본부,(주)쿠키뉴스대전충남취재본부,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794641F02_1-20-TM-09-048,10.01
33120,미미월드_공주미미 마법의 궁전_15,2020-09-25,15.0,가정용품,완구류,작동완구,(주)미미월드,(주)브라보앤뉴,렉스프로덕션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794684F02_1-20-TJ-09-203,15.02
33121,맞춤보험365_반상기라면편_120,2020-09-25,120.0,"금융,보험및증권",금융및보험,금융및보험기타,(주)이노리어,(주)제이앤케이인글로벌,비앤비,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794664F02_1-20-TJ-09-180,120.05
33122,에버콜라겐 : 기능성 인정 김사랑편_30,2020-09-25,30.0,식품,건강식품,건강보조식품,(주)뉴트리,(주)이노션,플랜잇,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794673F02_1-20-TJ-09-182,30.03
33123,오뚜기_무침양념 3종_30,2020-09-25,30.0,식품,조미향신료,소스및장국,(주)오뚜기,(주)애드리치,애드리치,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794632F02_1-20-TJ-09-153,30.03
33124,한국피앤지판매 페브리즈 : 내추리스 라벤터편,2020-09-25,30.0,가정용품,방취및방균제,방취및방향제,한국피앤지판매 유한회사,그룹엠코리아 주식회사,(주)아스트로보이픽쳐스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794660F02_1-20-TH-09-456,30.03
33125,삼성 갤럭시 : 만나지 못해 그리운 사람에게편_30,2020-09-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,MAT,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794640F02_1-20-TJ-09-164,30.03
33126,샘표식품 폰타나수프  : 맛으로 떠나는 여행편,2020-09-25,15.0,식품,조미향신료,소스및장국,샘표식품 주식회사,레오버넷(주),아이디어베이스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794712F02_1-20-TH-09-924,15.02
33127,커블체어 : 지금 당신의 자리도 커블하세요편_15,2020-09-25,15.0,가정용품,가구류,가구류제품종합,(주)에이블루,직거래,오늘커뮤니케이션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794716F02_1-20-TJ-09-200,15.02
33128,맥도날드 케이준맥치킨 : 내가 알던 맥치킨이 아니다편_15,2020-09-25,15.0,서비스,음식및숙박,패스트푸드점,한국맥도날드(유),(주)레오버넷,(주)뮤지엄컨텐츠,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/795378F02_1-20-TX-10-007,15.02
33129,엘지 디오스 김치톡톡 : 냉기 테크놀로지편_45,2020-09-25,45.0,가정용전기전자,주방용전기전자,전기저장고,엘지전자(주),(주)에이치에스애드,디렉터스컴퍼니,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794670F02_1-20-TJ-09-175,45.05
