행 번호,광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,AISAC_URL,실제재생초수
7136,"롯데웰푸드 빼빼로 : 뉴진스, 빼빼로로 말해요편",2023-09-05,15.0,식품,제과,비스켓및쿠키,롯데웰푸드(주),(주)대홍기획,대홍기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846404H01_1_23-TH-09-115,15.02
7137,"롯데웰푸드 빼빼로 : 뉴진스, 빼빼로로 말해요편",2023-09-05,20.0,식품,제과,비스켓및쿠키,롯데웰푸드(주),(주)대홍기획,대홍기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846404H01_1_23-TH-09-115,15.02
7138,엘지유플러스 갤럭시 Z플립5 : 유플러스 혜택킹편,2023-09-05,30.0,컴퓨터및정보통신,통신망,이동통신,(주)엘지유플러스,주식회사 에이치에스애드,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846397H01_1_23-TH-09-110,30.03
7139,엘지유플러스 유플 갤럭시 Z플립5 : 혜택편,2023-09-05,15.0,컴퓨터및정보통신,통신망,이동통신,(주)엘지유플러스,주식회사 에이치에스애드,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846402H01_1_23-TH-09-109,15.02
7140,아이비삼경 HiPP : 선택 수정편,2023-09-05,30.0,식품,유제품,분유,아이비삼경 주식회사,(주)디디비코리아,(주) 더워터멜론TWC,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846379H01_1_23-TH-09-094,30.03
7141,월트디즈니컴퍼니코리아 한강 : 지금 스트리밍중편,2023-09-05,15.0,서비스,문화및공연,영화,월트디즈니컴퍼니코리아 유한책임회사,레오버넷(주),레오버넷,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846452H01_1_23-TH-09-148,15.02
7142,신성통상 굿웨어몰 : 베리굿편,2023-09-05,15.0,유통,특수유통,특수유통제품종합,신성통상(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846387H01_1_23-TH-09-101,15.02
7143,넷플릭스서비시스코리아 도적 : 공개편,2023-09-05,15.0,서비스,문화및공연,문화및공연기타,넷플릭스서비시스코리아 유한회사,주식회사 에이치에스애드,비주얼인텔리전스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846405H01_1_23-TX-09-005,15.02
7144,이케아코리아 IKEA  : 생각대로 산다편,2023-09-05,30.0,가정용품,가구류,가구류제품종합,이케아코리아 유한회사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846382H01_1_23-TH-09-104,30.03
7146,하이트진로 켈리 : 여름에 꽂히다편,2023-09-05,15.0,음료및기호식품,알콜음료,맥주,하이트진로(주),(유)이노레드,스튜디오윌슨,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846438H01_1_23-TX-09-009,8.01
7147,테일러메이드코리아 올뉴P790 : 경험하세요편,2023-09-05,15.0,가정용품,"취미,레저용품",골프용품,(유)테일러메이드코리아,(유)이노레드,이노션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846407H01_1_23-TH-09-105,15.02
7148,아이비삼경 HiPP : 선택 수정편,2023-09-05,15.0,식품,유제품,분유,아이비삼경 주식회사,(주)디디비코리아,(주) 더워터멜론TWC,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846379H01_1_23-TH-09-094,30.03
7149,신성통상 굿웨어몰 : 모두에게편,2023-09-05,30.0,유통,특수유통,특수유통제품종합,신성통상(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846383H01_1_23-TH-09-102,30.03
7150,메르세데스벤츠코리아 Benz E-class : 아니다편,2023-09-05,30.0,수송기기,수입자동차,수입승용차,메르세데스벤츠코리아 주식회사,주식회사 에이치에스애드,스튜디오 메카,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846403H01_1_23-TH-09-116,30.03
7151,순천만국제정원박람회 조직위원회 순천만국제정원박람회 : 오세요 가을편,2023-09-05,30.0,서비스,문화및공연,"전시, 박람회 및 학술회의",재단법인 순천만국제정원박람회 조직위원회,한국언론진흥재단,나라미디어,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846396H01_1_23-TH-09-122,30.03
7153,하이트진로 켈리 : 여름에 꽂히다편,2023-09-05,8.0,음료및기호식품,알콜음료,맥주,하이트진로(주),(유)이노레드,스튜디오윌슨,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846438H01_1_23-TX-09-009,8.01
7154,하이트진로 켈리 : 여름에꽂히다편,2023-09-05,6.0,음료및기호식품,알콜음료,맥주,하이트진로(주),(유)이노레드,스튜디오윌슨,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846437H01_1_23-TX-09-008,6.01
7156,월트디즈니컴퍼니코리아 무빙 : 지금 스트리밍편,2023-09-05,15.0,서비스,서비스기타,서비스기타,월트디즈니컴퍼니코리아 유한책임회사,레오버넷(주),레오버넷,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846394H01_1_23-TX-09-007,15.02
7157,엘엠솔루션 전기자전거 : 볼트몬스터편,2023-09-05,15.0,수송기기,수송기기기타,수송기기기타,주식회사 엘엠솔루션,직거래,(주)마이다스커뮤니케이션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846411H01_1_23-TH-09-123,15.02
7158,월트디즈니컴퍼니코리아 한강 : 지금스트리밍편,2023-09-05,15.0,서비스,문화및공연,영화,월트디즈니컴퍼니코리아 유한책임회사,레오버넷(주),레오버넷,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846453H01_1_23-TH-09-147,15.02
7159,KB금융지주 KB금융그룹 희망부자 : 도서관편,2023-09-04,30.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",(주)KB금융지주,주식회사 에이치에스애드,본그레이,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846432H01_1_23-TH-09-070,30.03
7160,KB금융그룹 : 희망부자 꿀벌편,2023-09-04,30.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",(주)KB금융지주,주식회사 에이치에스애드,본그레이,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846431H01_1_23-TH-09-071,30.03
7161,바디프랜드 다빈치 : 홈헬스케어 트레이너편,2023-09-04,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,주식회사 바디프랜드,TBWA KOREA(주),(주)바디프랜드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846337H01_1_23-TH-09-068,15.02
7162,오비맥주 카스 : 카스쿨 랩업편,2023-09-04,30.0,음료및기호식품,알콜음료,맥주,오비맥주 주식회사,주식회사 온보드그룹,브라보,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846344H01_1_23-TX-09-001,30.03
7163,동국제약 마데카 프라임 : 데일리편,2023-09-04,15.0,가정용전기전자,가사용전기전자,전기이미용기기,동국제약(주),동국헬스케어홀딩스(주),(주)빅밴드앤코,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846375H01_1_23-TH-09-091,15.02
7164,농협홍삼 한삼인 한스틱 : 명절편,2023-09-04,15.0,식품,건강식품,건강식품기타,(주)농협홍삼 서울지점,(주)엔씨씨애드,(주)엔씨씨애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846352H01_1_23-TH-09-076,15.02
7165,비앤씨 핑크아미 : 인생카메라편,2023-09-04,20.0,가정용품,완구류,완구류기타,(주)비앤씨,주식회사 프리즘에이앤씨,(주)스튜디오티씨지,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846350H01_1_23-TH-09-077,20.02
7167,FARLIGHT PTE 콜 오브 드래곤즈 : 팀 라오킹 신작편,2023-09-04,15.0,컴퓨터및정보통신,컴퓨터게임,모바일게임,FARLIGHT PTE. LTD.,(주)미디어큐레이터,주식회사 인덱스메이커,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846349H01_1_23-TH-09-079,15.02
7170,월트디즈니 : 기간 한정 특별 혜택 프로모션편,2023-09-04,15.0,서비스,서비스기타,서비스기타,월트디즈니컴퍼니코리아 유한책임회사,레오버넷(주),레오버넷,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846374H01_1_23-TX-09-003,15.02
7171,에스케이엔무브 기업PR : 에너지 세이빙 컴퍼니편,2023-09-04,15.0,기초재,"석탄,석유및가스","석탄,석유및가스기타",에스케이엔무브 주식회사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846347H01_1_23-TH-09-085,15.02
7173,오비맥주 카스 : 카스쿨 랩업편,2023-09-04,15.0,음료및기호식품,알콜음료,맥주,오비맥주 주식회사,주식회사 온보드그룹,브라보,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846344H01_1_23-TX-09-001,30.03
7175,세라젬 파우제M4 : 명절 프로모션편,2023-09-04,30.0,제약및의료,의료기기,의료기기기타,(주)세라젬,(주)대홍기획,대홍기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846812H01_1_23-TH-09-431,30.03
7176,에스케이엔무브 SK엔무브 : 놀랍다편,2023-09-04,30.0,기초재,"석탄,석유및가스","석탄,석유및가스제품종합",에스케이엔무브 주식회사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846348H01_1_23-TH-09-084,15.02
7177,군산필스 : 추석맞이big세일편,2023-09-04,20.0,패션,패션기타,패션기타,군산필스,애드엔피플,(주)애드엔피플,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846368H01_1_23-TH-09-088,20.02
7178,동화약품 마그랩 포 스트레스 : 마셔봐편,2023-09-04,15.0,식품,건강식품,건강보조식품,동화약품(주),(주)오버맨,스튜디오조커,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846339H01_1_23-TH-09-067,15.02
7179,고운세상코스메틱 닥터지 : 풀다 블랙편,2023-09-04,15.0,화장품및보건용품,여성기초화장품,여성일반기초화장품,(주)고운세상코스메틱,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846354H01_1_23-TH-09-075,15.02
7180,휴메딕스 엘라비에라인 : 오늘부터편,2023-09-04,15.0,제약및의료,의료기기,의료기기기타,주식회사 휴메딕스,(주)에이치엠애드,에이치엠애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846371H01_1_23-TH-09-089,15.02
7182,월트디즈니컴퍼니코리아 디즈니플러스 : SUMMER CAMPAIGN편,2023-09-04,15.0,서비스,서비스기타,서비스기타,월트디즈니컴퍼니코리아 유한책임회사,레오버넷(주),레오버넷,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846376H01_1_23-TH-09-092,15.02
7183,에스케이엔무브 SK엔무브 : 놀랍다편,2023-09-04,15.0,기초재,"석탄,석유및가스","석탄,석유및가스제품종합",에스케이엔무브 주식회사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846348H01_1_23-TH-09-084,15.02
7184,정성바이오 코끼리아저씨 : 코끼리 아저씨가 나타났다편,2023-09-01,30.0,식품,식품기타,식품기타,주식회사 정성바이오,(주)애드크루즈,고미디어,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846319H01_1_23-TH-09-053,30.03
7185,잡코리아 원픽 : 쉽고 빠른 이직의 기술편,2023-09-01,15.0,서비스,개인서비스,직업소개,잡코리아 유한책임회사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846258H01_1_23-TH-09-006,15.02
7186,동원에프앤비 동원맛참 : 이젠 바로 밥참지편,2023-09-01,15.0,식품,수산품,수산통조림,(주)동원에프앤비,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846325H01_1_23-TH-09-059,15.02
7187,"잡코리아 원픽 : 쉽고 빠른 이직의 기술, 대표편",2023-09-01,30.0,서비스,개인서비스,직업소개,잡코리아 유한책임회사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846256H01_1_23-TH-09-009,30.03
7188,던롭스포츠 클리브랜드 웨지 RTX6 : 우승 기념 이벤트편,2023-09-01,15.0,가정용품,"취미,레저용품",골프용품,던롭스포츠코리아 주식회사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846255H01_1_23-TH-09-010,15.02
7189,미미월드 마법램프 : 단독 공식 런칭편,2023-09-01,20.0,가정용품,완구류,일반완구,(주)미미월드,(주)와우매니지먼트그룹,렉스프로덕션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846691H01_1_23-TH-09-341,15.02
7190,동원에프앤비 동원맛참 : 이젠 바로 밥참지편,2023-09-01,30.0,식품,수산품,수산통조림,(주)동원에프앤비,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846325H01_1_23-TH-09-059,15.02
7191,셀티브코리아 위슬로 루바브 :갱년기 고민 루바브로 빨갛게 지우자편,2023-09-01,15.0,식품,건강식품,건강보조식품,셀티브코리아(주),(주)휘닉스커뮤니케이션즈,(주)휘닉스커뮤니케이션즈,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846264H01_1_23-TH-09-026,15.02
7192,"한국인삼공사 정관장 : 추석, 정관장사편",2023-09-01,15.0,식품,건강식품,건강보조식품,(주)한국인삼공사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846270H01_1_23-TH-09-018,15.02
7193,한국인삼공사 정관장 : 추석편,2023-09-01,30.0,식품,건강식품,건강보조식품,(주)한국인삼공사,(주)제일기획,키노플로우,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846278H01_1_23-TH-09-014,15.02
7194,바디프랜드 메디컬 팬텀 :홈헬스케어 의료기기편,2023-09-01,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,주식회사 바디프랜드,TBWA KOREA(주),(주)바디프랜드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/848730H01_1_23-TH-10-523,15.02
7195,미미월드 : 포켓몬 추리게임편,2023-09-01,15.0,가정용품,완구류,작동완구,(주)미미월드,(주)와우매니지먼트그룹,프로덕션디젤,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846322H01_1_23-TH-09-056,15.02
7196,전진기획 한가위 우수상품 선물박람회 : 광주전남편,2023-09-01,30.0,서비스,문화및공연,"전시, 박람회 및 학술회의",전진기획,(주)믿음컴퍼니,(주)믿음컴퍼니,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846250H01_1_23-TH-09-001,30.03
7197,정성바이오 코끼리아저씨 : 코끼리 아저씨가 나타났다편,2023-09-01,30.0,식품,식품기타,식품기타,주식회사 정성바이오,(주)애드크루즈,고미디어,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846319H01_1_23-TH-09-053,30.03
7198,현대제철 기업PR : 충청남도 농특산물편,2023-09-01,30.0,그룹및기업광고,기타광고,기타기업PR,현대제철주식회사,주식회사영상뉴스,영상뉴스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846281H01_1_23-TH-09-039,30.03
7199,한국인삼공사 정관장 : 갓생 추석B편,2023-09-01,60.0,식품,건강식품,건강보조식품,(주)한국인삼공사,(주)제일기획,키노플로우,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846269H01_1_23-TH-09-016,60.06
7200,Airbnb : 멋진 수영장편,2023-09-01,30.0,서비스,음식및숙박,음식및숙박기타,Airbnb,그룹엠코리아 주식회사,TBWA KOREA,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846275H01_1_23-TH-09-020,30.03
7201,바디프랜드 팔콘 : 다 하신다편,2023-09-01,30.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,주식회사 바디프랜드,TBWA KOREA(주),(주)바디프랜드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846287H01_1_23-TH-09-033,30.03
7202,군산대학교 : 다 해줄께편,2023-09-01,20.0,교육및복지후생,교육기관,대학대학원,군산대학교,한국언론진흥재단,(주)미디어맥스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846261H01_1_23-TH-09-021,20.02
7203,글락소스미스클라인컨슈머헬스케어코리아 센소다인 울트라노바 : 경험해보세요편,2023-09-01,15.0,화장품및보건용품,구강용품,치약,주식회사 글락소스미스클라인컨슈머헬스케어코리아,그레이월드와이드코리아(주),그레이월드와이드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846335H01_1_23-TH-09-065,15.02
7204,알보젠코리아 머시론 : 주세요편,2023-09-01,15.0,제약및의료,생리피임및치질용약,생리피임및치질용약기타,알보젠코리아 주식회사,(주)하쿠호도제일,하쿠호도제일,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846284H01_1_23-TH-09-027,15.02
7205,바디프랜드 다빈치 : 잘했다편,2023-09-01,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,주식회사 바디프랜드,TBWA KOREA(주),(주)바디프랜드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846286H01_1_23-TH-09-034,15.02
7206,한국인삼공사 정관장 : 갓생 추석편,2023-09-01,15.0,식품,건강식품,건강보조식품,(주)한국인삼공사,(주)제일기획,키노플로우,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846278H01_1_23-TH-09-014,15.02
7207,Airbnb : 캠핑편,2023-09-01,30.0,서비스,음식및숙박,음식및숙박기타,Airbnb,그룹엠코리아 주식회사,TBWA KOREA,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846268H01_1_23-TH-09-019,30.03
7208,현대리바트 키친 앤 바스 : 잘 찾아오셨습니다편,2023-09-01,30.0,가정용품,가구류,가구류제품종합,(주)현대리바트,(주)차이커뮤니케이션,(주)차이커뮤니케이션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846321H01_1_23-TH-09-054,30.03
7209,동원에프앤비 동원맛참 : 열기만 해편,2023-09-01,30.0,식품,수산품,수산통조림,(주)동원에프앤비,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846326H01_1_23-TH-09-058,15.02
7211,동원에프앤비 동원맛참 : 열기만 해편,2023-09-01,15.0,식품,수산품,수산통조림,(주)동원에프앤비,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846326H01_1_23-TH-09-058,15.02
7212,네이처농업회사법인 태안가을꽃박람회 : 미소 짓게 됩니다편,2023-09-01,20.0,서비스,스포츠및오락시설,공원및테마파크,주식회사 네이처농업회사법인,주식회사 그레이아츠컴퍼니,(주)그레이아츠컴퍼니,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846285H01_1_23-TH-09-030,20.02
7213,잡코리아 원픽 : 대이동 수정2편,2023-09-01,30.0,서비스,개인서비스,직업소개,잡코리아 유한책임회사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846259H01_1_23-TH-09-008,30.03
7214,바디프랜드 안마의자 다빈치 : 식단편,2023-09-01,30.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,주식회사 바디프랜드,TBWA KOREA(주),(주)바디프랜드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/849987H01_1_23-TH-11-396,15.02
7215,바이어스도르프코리아 유세린 아이크림 : 유세린x곽선영편,2023-09-01,15.0,화장품및보건용품,여성기초화장품,여성일반기초화장품,바이어스도르프 코리아(유),(주)디디비코리아,디디비코리아,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846274H01_1_23-TH-09-024,15.02
7216,함평군청 : 꽃무릇축제편,2023-09-01,20.0,관공서및단체,관공서및단체기타,관공서및단체기타,함평군청,아날로직 스튜디오,아날로직 스튜디오,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846282H01_1_23-TH-09-038,20.02
7217,한국인삼공사 정관장 : 추석편,2023-09-01,60.0,식품,건강식품,건강보조식품,(주)한국인삼공사,(주)제일기획,키노플로우,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846278H01_1_23-TH-09-014,15.02
7218,엘지유플러스 U+tv next : 환승구독편,2023-09-01,30.0,컴퓨터및정보통신,방송,IPTV,(주)엘지유플러스,주식회사 에이치에스애드,LG애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846329H01_1_23-TH-09-061,30.03
7219,누가의료기 누가베스트 : 엔프로모션편,2023-09-01,15.0,제약및의료,의료기기,의료기기기타,(주)누가의료기,주식회사 아이디어스트림,아이디어스트림,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/847700H01_1_23-TJ-09-074,15.02
7220,월트디즈니컴퍼니코리아 한강 : 단독공개편,2023-09-01,15.0,서비스,문화및공연,영화,월트디즈니컴퍼니코리아 유한책임회사,레오버넷(주),레오버넷,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846462H01_1_23-TH-09-151,15.02
7221,메쎄이상 : 2023 대구 경향하우징페어 홍보편,2023-09-01,20.0,서비스,문화및공연,"전시, 박람회 및 학술회의",주식회사 메쎄이상,오길비코리아 유한회사,금강오길비,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846265H01_1_23-TH-09-031,20.02
7222,잡코리아 원픽 : 거부편,2023-09-01,15.0,서비스,개인서비스,직업소개,잡코리아 유한책임회사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846257H01_1_23-TH-09-007,15.02
7223,아카데미과학 헬리구조대 : 흔들흔들 헬리구조대편,2023-09-01,15.0,가정용품,완구류,일반완구,(주)아카데미과학,(주)파인애드컴,(주)파인애드컴,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846280H01_1_23-TH-09-013,15.02
7224,아카데미과학 알파벳로어 : 자석놀이세트편,2023-09-01,15.0,가정용품,완구류,일반완구,(주)아카데미과학,(주)파인애드컴,(주)파인애드컴,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846276H01_1_23-TH-09-012,15.02
7225,미미월드 미미월드완구 : 마법램프편,2023-09-01,15.0,가정용품,완구류,일반완구,(주)미미월드,(주)와우매니지먼트그룹,렉스프로덕션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846333H01_1_23-TH-09-063,15.02
7226,BMW : 레이디스 챔피언십 15초,2023-08-31,15.0,수송기기,수입자동차,수입자동차제품종합,비엠더블유코리아(주),(주)에스엠컬처앤콘텐츠 광고사업부문,TBWA KOREA,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/863644H01_1_24-TH-09-788,15.02
7227,BMW : 레이디스 챔피언십 30초,2023-08-31,30.0,수송기기,수입자동차,수입자동차제품종합,비엠더블유코리아(주),(주)에스엠컬처앤콘텐츠 광고사업부문,TBWA KOREA,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846517H01_1_23-TH-08-789,30.03
7228,에이치엘홀딩스 HL만도 : 모션엑스라이트편,2023-08-31,15.0,수송기기,수송기기부품및용품,수송기기부품및용품기타,에이치엘홀딩스 주식회사,주식회사 에이치에스애드,스튜디오 메카,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846153H01_1_23-TH-08-771,15.02
7229,세라젬 파우제M4 : 추석 프로모션편,2023-08-31,15.0,제약및의료,의료기기,의료기기기타,(주)세라젬,(주)대홍기획,대홍기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846158H01_1_23-TH-08-767,15.02
7230,"목포삼학도크루즈 : 목포해상관광,유람선편",2023-08-31,20.0,서비스,운송,수상여객운송,주식회사 목포삼학도크루즈,(주)나라미디어,나라미디어,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846164H01_1_23-TH-08-793,20.02
7231,편강한방연구소 구전녹용 :추석편,2023-08-31,30.0,식품,건강식품,건강식품기타,주식회사 편강한방연구소,(주)미쓰윤,미쓰윤,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846206H01_1_23-TH-08-818,30.03
7232,함양군청 제18회 함양산삼축제 : 심봤다편,2023-08-31,15.0,관공서및단체,중앙및지방관공서,지방자치단체,함양군청,한국언론진흥재단,주식회사 보이소,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846172H01_1_23-TH-08-797,15.02
7233,미미월드 신데렐라미미 드레스패드 : 프릴을 쏙쏙편,2023-08-31,15.0,가정용품,완구류,일반완구,(주)미미월드,(주)와우매니지먼트그룹,렉스프로덕션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846170H01_1_23-TH-08-778,15.02
7234,에이치엘홀딩스 HL만도 : 자율주행편,2023-08-31,30.0,수송기기,승용자동차,승용자동차기타,에이치엘홀딩스 주식회사,주식회사 에이치에스애드,스튜디오 메카,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846154H01_1_23-TH-08-770,30.03
7235,부산정보산업진흥원 2023 K-ICT Week in BUSAN : KIWi편,2023-08-31,30.0,서비스,문화및공연,"전시, 박람회 및 학술회의",재단법인부산정보산업진흥원,한국언론진흥재단,애드맥스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846161H01_1_23-TH-08-777,30.03
7236,"미미월드 신데렐라미미 드레스패드 : 프릴을 쏙쏙, 행사자막편",2023-08-31,15.0,가정용품,완구류,일반완구,(주)미미월드,(주)와우매니지먼트그룹,렉스프로덕션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846204H01_1_23-TH-08-816,15.02
7237,"링티 : 링티를 거세요, 농사편",2023-08-31,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사 링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846160H01_1_23-TH-08-774,15.02
7238,바디프랜드 팔콘 : 관리비결편,2023-08-31,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,주식회사 바디프랜드,TBWA KOREA(주),(주)바디프랜드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846178H01_1_23-TH-08-794,15.02
7239,아이비삼경 HiPP 콤비오틱 : 지혜의 힙한 선택편,2023-08-31,15.0,식품,유제품,분유,아이비삼경 주식회사,(주)디디비코리아,(주) 더워터멜론TWC,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846162H01_1_23-TH-08-776,15.02
7241,남해군청 : 독일마을 맥주축제편,2023-08-31,30.0,서비스,문화및공연,지역 및 문화축제,남해군청,(주)연합뉴스티브이,(주)연합뉴스티브이,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846165H01_1_23-TX-08-040,30.03
7242,아르떼미디어 : 폐점상품 총정리편,2023-08-31,30.0,유통,유통기타,유통기타,아르떼미디어(Arte media),(주)서현애드,프로덕션 모던,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846214H01_1_23-TH-08-823,30.03
7244,세라젬 파우제M4 : 파우제대로 명절편,2023-08-31,30.0,제약및의료,의료기기,의료기기기타,(주)세라젬,(주)대홍기획,대홍기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846212H01_1_23-TH-08-821,30.03
7245,남당항축제추진위원회  홍성남당항 대하축제 : 초대합니다 수정편,2023-08-31,30.0,서비스,문화및공연,지역 및 문화축제,남당항축제추진위원회,주식회사 비원기획,주식회사 비원기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846210H01_1_23-TH-08-819,30.03
7246,김제시지평선축제제전위원회 김제지평선축제 : 만들어 가세요편,2023-08-31,30.0,서비스,문화및공연,지역 및 문화축제,(사)김제시지평선축제제전위원회,주식회사다온에프앤비,다온F&B,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/846194H01_1_23-TH-08-806,30.03
